DateTime_hr,AssetID,TransactionType,MW,DAMspp,RTMspp,SpreadPred,SpreadReal,Costo_tx_USD
2024-07-24 04:00:00,LSBRIGHTSD_RN-SP,BID,260,19.18,23.38750028610229,6.196386,6.307499732971191,4986.8
2024-07-24 01:00:00,LSBRIGHTSD_RN-SP,BID,251,19.91,20.664999961853027,1.724904,1.7624998092651367,4997.41
2024-07-24 01:00:00,LSAZURE_RN-PT,BID,311,16.06,17.082499980926514,7.886659,8.050000152587891,4994.66
2024-07-25 08:00:00,LSLASSO_GEN-PT,BID,245,20.39,22.145000457763672,51.410435,51.40250030566007,4995.55
2024-07-25 05:00:00,LSBRIGHTSD_RN-SP,BID,243,20.54,26.05500030517578,5.3632464,5.412499637603759,4991.219999999999
2024-07-25 23:00:00,LSAZURE_RN-PT,BID,361,13.83,19.32000064849853,10.314821,10.452499904632568,4992.63
2024-07-25 05:00:00,NGBSHAFFER_ALL-SP,BID,245,20.37,25.81249952316284,4.227013,4.312499465942384,4990.650000000001
2024-07-25 23:00:00,LSTHW_1_CCU-PT,BID,303,16.46,22.25499963760376,2.6694155,2.7424995422363274,4987.38
2024-07-25 02:00:00,LSBRIGHTSD_RN-SP,BID,282,17.73,22.362500190734863,2.2276728,2.25249994277954,4999.86
2024-07-25 02:00:00,NGBLASSO_GEN-PT,BID,126,39.49,45.03250026702881,27.465538,27.72499919891357,4975.740000000001
2024-07-25 04:00:00,LSBRIGHTSD_RN-SP,BID,260,19.19,24.112499713897705,6.201394,6.307499732971191,4989.400000000001
2024-07-25 01:00:00,LSBRIGHTSD_RN-SP,BID,285,17.53,20.887499809265137,1.7266045,1.7624998092651367,4996.05
2024-07-25 00:00:00,NGBSHAFFER_ALL-SP,BID,273,18.28,20.71000051498413,1.3950751,1.3825001335144051,4990.4400000000005
2024-07-26 08:00:00,LSLASSO_GEN-PT,BID,257,19.4,20.78499984741211,51.43265,51.40250030566007,4985.799999999999
2024-07-26 12:00:00,NGBCAL_PUN2-PT,OFFER,237,23.47,21.08999967575073,5.367198,5.357500003017485,4998.329923152923
2024-07-26 18:00:00,NGBLV4_UNIT_1-SP,OFFER,216,27.1,23.10999965667725,14.470495,14.4675,4991.759925842286
2024-07-26 05:00:00,LSBRIGHTSD_RN-SP,BID,243,20.53,21.59749937057495,5.3749647,5.412499637603759,4988.79
2024-07-26 00:00:00,NGBLASSO_GEN-PT,BID,185,26.9,40.86250114440918,30.548899,30.810000381469727,4976.5
2024-07-26 01:00:00,LSLASSO_GEN-PT,BID,195,25.64,41.36750030517578,117.75135,117.98749710083008,4999.8
2024-07-26 17:00:00,NGBLV4_UNIT_1-SP,OFFER,194,27.59,25.752500534057617,5.8699245,5.705000114440921,4995.985103607178
2024-07-26 19:00:00,NGBLV4_UNIT_1-SP,OFFER,183,44.05,27.27500009536743,6.9606,7.027499637603761,4991.32501745224
2024-07-26 19:00:00,NGBCAL_PUN2-PT,OFFER,189,43.68,26.37750005722046,16.64411,16.592499504089353,4985.347510814667
2024-07-26 20:00:00,NGBCAL_PUN2-PT,OFFER,180,42.13,27.71250009536743,7.362992,7.335000686645511,4988.250017166138
2024-07-27 08:00:00,LSLASSO_GEN-PT,BID,328,15.23,21.65749979019165,51.40202,51.40250030566007,4995.4400000000005
2024-07-27 16:00:00,LSDUKE_GST1CCU-PT,OFFER,236,25.62,21.119999408721924,16.052952,16.085000295639038,4984.319860458374
2024-07-27 12:00:00,NGBCAL_PUN2-PT,OFFER,284,19.27,17.59000062942505,5.376391,5.357500003017485,4995.560178756714
2024-07-27 16:00:00,NGBTGCCS_ALL-PT,OFFER,229,25.63,21.75500011444092,8.134306,8.147500081062317,4981.895026206971
2024-07-27 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,247,22.18,20.19249963760376,7.846979,7.88250026702881,4987.547410488129
2024-07-27 14:00:00,NGBCAL_PUN2-PT,OFFER,270,21.99,18.47249984741211,5.064722,5.064999986886978,4987.5749588012695
2024-07-27 19:00:00,NGBLV4_UNIT_1-SP,OFFER,204,38.43,24.50250005722046,6.954878,7.027499637603761,4998.510011672974
2024-07-27 19:00:00,NGBCAL_PUN2-PT,OFFER,204,38.4,24.50250005722046,16.622307,16.592499504089353,4998.510011672974
2024-07-27 16:00:00,NGBCAL_PUN2-PT,OFFER,235,25.63,21.21749973297119,3.981233,4.037499580383301,4986.11243724823
2024-07-27 20:00:00,NGBCAL_PUN2-PT,OFFER,214,33.4,23.28000020980835,7.733567,7.335000686645511,4981.920044898987
2024-07-28 08:00:00,LSLASSO_GEN-PT,BID,982,5.09,5.384999871253967,51.43501,51.40250030566007,4998.38
2024-07-28 14:00:00,NGBCAL_PUN2-PT,OFFER,295,19.29,16.944999933242798,5.066659,5.064999986886978,4998.774980306625
2024-07-28 18:00:00,NGBLV4_UNIT_1-SP,OFFER,457,16.07,10.927499771118164,14.535767,14.4675,4993.867395401001
2024-07-28 16:00:00,LSDUKE_GST1CCU-PT,OFFER,375,24.89,13.329999923706056,16.047482,16.085000295639038,4998.749971389771
2024-07-28 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,1021,16.5,4.892499893903732,7.8426213,7.88250026702881,4995.242391675711
2024-07-28 01:00:00,LSLASSO_GEN-PT,BID,367,13.6,17.00749969482422,118.079254,117.98749710083008,4991.2
2024-07-28 12:00:00,NGBCAL_PUN2-PT,OFFER,446,14.72,11.202500104904177,5.3553443,5.357500003017485,4996.315046787263
2024-07-28 19:00:00,NGBCAL_PUN2-PT,OFFER,142,43.65,35.16249990463257,16.615196,16.592499504089353,4993.074986457825
2024-07-28 18:00:00,NGBDUKE_GST1CCU-PT,OFFER,398,23.99,12.537500143051147,16.653172,16.837499897480015,4989.925056934357
2024-07-28 12:00:00,LSSCLP_PUN1-SP,OFFER,436,14.8,11.445000171661375,3.8282108,3.865000038146974,4990.020074844359
2024-07-29 08:00:00,LSLASSO_GEN-PT,BID,2016,2.48,8.199999988079071,51.458218,51.40250030566007,4999.68
2024-07-29 16:00:00,LSDUKE_GST1CCU-PT,OFFER,292,35.45,17.085000038146973,16.065657,16.085000295639038,4988.820011138916
2024-07-29 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,675,16.98,7.402500167489052,7.843846,7.88250026702881,4996.68761305511
2024-07-29 05:00:00,LSBRIGHTSD_RN-SP,BID,346,14.41,18.022500038146973,5.3618746,5.412499637603759,4985.86
2024-07-29 04:00:00,LSTHW_1_CCU-PT,BID,394,12.67,16.47000026702881,2.2868366,2.3450003051757804,4991.98
2024-07-29 01:00:00,LSLASSO_GEN-PT,BID,334,14.95,17.912500381469727,117.725044,117.98749710083008,4993.3
2024-07-29 18:00:00,NGBDUKE_GST1CCU-PT,OFFER,413,22.58,12.102500200271606,16.924297,16.837499897480015,4998.3325827121735
2024-07-29 16:00:00,NGBCAL_PUN2-PT,OFFER,214,30.77,23.324999809265137,4.0447307,4.037499580383301,4991.549959182739
2024-07-29 15:00:00,LSBRP_ZPT2_RN-SP,OFFER,331,20.07,15.105000257492064,14.479047,14.59,4999.755085229873
2024-07-29 19:00:00,NGBLV4_UNIT_1-SP,OFFER,3300,12.56,1.51500004529953,7.0785704,7.027499637603761,4999.500149488449
2024-07-30 08:00:00,LSLASSO_GEN-PT,BID,1012,4.94,8.170000053942204,51.395348,51.40250030566007,4999.280000000001
2024-07-30 14:00:00,NGBCAL_PUN2-PT,OFFER,200,29.75,24.920000076293945,5.062883,5.064999986886978,4984.000015258789
2024-07-30 16:00:00,LSDUKE_GST1CCU-PT,OFFER,414,25.64,12.06500005722046,16.052073,16.085000295639038,4994.910023689271
2024-07-30 16:00:00,NGBTGCCS_ALL-PT,OFFER,219,34.27,22.76000022888184,8.1016,8.147500081062317,4984.440050125123
2024-07-30 09:00:00,LSBRP_ZPT2_RN-SP,OFFER,1432,10.71,3.4899998903274536,4.446529,4.474999732971192,4997.679842948914
2024-07-30 01:00:00,LSLASSO_GEN-PT,BID,299,16.72,20.730000019073486,117.61792,117.98749710083008,4999.28
2024-07-30 17:00:00,NGBCAL_PUN2-PT,OFFER,265,26.41,18.867499828338623,23.667925,23.75499996185303,4999.887454509735
2024-07-30 19:00:00,NGBCAL_PUN2-PT,OFFER,171,48.66,29.13000011444092,16.627771,16.592499504089353,4981.230019569398
2024-07-30 15:00:00,LSDUKE_GST1CCU-PT,OFFER,424,21.93,11.767499923706056,13.869423,13.645000252723694,4989.419967651368
2024-07-30 18:00:00,NGBDUKE_GST1CCU-PT,OFFER,576,19.81,8.677500247955322,16.919903,16.837499897480015,4998.240142822266
2024-07-31 08:00:00,LSLASSO_GEN-PT,BID,1237,4.04,4.857499826699495,51.4201,51.40250030566007,4997.4800000000005
2024-07-31 14:00:00,NGBCAL_PUN2-PT,OFFER,245,25.81,20.35999965667725,5.062765,5.064999986886978,4988.199915885926
2024-07-31 16:00:00,LSDUKE_GST1CCU-PT,OFFER,463,20.47,10.78000020980835,16.035412,16.085000295639038,4991.140097141266
2024-07-31 22:00:00,LSSCLP_PUN1-SP,OFFER,275,19.21,18.14249992370605,4.9807434,4.994999914169313,4989.187479019164
2024-07-31 16:00:00,NGBTGCCS_ALL-PT,OFFER,238,37.09,20.940000534057617,8.117095,8.147500081062317,4983.720127105713
2024-07-31 17:00:00,NGBCAL_PUN2-PT,OFFER,227,30.57,21.987499713897705,23.800798,23.75499996185303,4991.162435054779
2024-07-31 19:00:00,NGBCAL_PUN2-PT,OFFER,182,41.38,27.40999984741211,16.632643,16.592499504089353,4988.619972229004
2024-07-31 16:00:00,NGBCAL_PUN2-PT,OFFER,230,29.73,21.667500019073486,3.9968212,4.037499580383301,4983.525004386902
2024-07-31 21:00:00,LSSCLP_PUN1-SP,OFFER,247,23.11,20.19499969482422,3.4073362,3.422499675750732,4988.164924621582
2024-07-31 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,730,9.48,6.8424999713897705,7.8294806,7.88250026702881,4995.0249791145325
2024-08-01 08:00:00,LSLASSO_GEN-PT,BID,427,11.7,13.375,51.38427,51.40250030566007,4995.9
2024-08-01 14:00:00,NGBCAL_PUN2-PT,OFFER,203,27.38,24.570000171661377,5.0803995,5.064999986886978,4987.7100348472595
2024-08-01 16:00:00,LSDUKE_GST1CCU-PT,OFFER,207,26.27,24.097500324249268,16.042198,16.085000295639038,4988.182567119598
2024-08-01 22:00:00,LSSCLP_PUN1-SP,OFFER,251,23.34,19.892500400543213,4.9783497,4.994999914169313,4993.017600536346
2024-08-01 16:00:00,NGBTGCCS_ALL-PT,OFFER,213,30.58,23.36999988555908,8.10981,8.147500081062317,4977.809975624084
2024-08-01 17:00:00,NGBCAL_PUN2-PT,OFFER,220,28.39,22.68750047683716,23.796436,23.75499996185303,4991.250104904176
2024-08-01 19:00:00,NGBCAL_PUN2-PT,OFFER,157,55.02,31.817501068115234,16.684038,16.592499504089353,4995.347667694092
2024-08-01 01:00:00,LSLASSO_GEN-PT,BID,584,8.56,17.27750015258789,118.0043,117.98749710083008,4999.04
2024-08-01 16:00:00,NGBCAL_PUN2-PT,OFFER,211,30.32,23.58999967575073,3.96706,4.037499580383301,4977.489931583404
2024-08-01 21:00:00,LSSCLP_PUN1-SP,OFFER,212,27.82,23.50749969482422,3.4142988,3.422499675750732,4983.589935302734
2024-08-02 08:00:00,LSLASSO_GEN-PT,BID,315,15.83,18.269999504089355,51.4082,51.40250030566007,4986.45
